o_hom	e_hom	nm	miss
286467	2.86E+05	350768	0.001332
286742	2.86E+05	350933	0.0008627
286516	2.86E+05	350790	0.00127
285787	2.86E+05	350405	0.002366
285778	2.86E+05	350903	0.0009481
286467	2.86E+05	350674	0.0016
286622	2.86E+05	350444	0.002255
286495	2.86E+05	350795	0.001256
283743	2.85E+05	349646	0.004527
286605	2.86E+05	350832	0.00115
285342	2.86E+05	350702	0.00152
286349	2.86E+05	350890	0.0009851
286160	2.86E+05	350836	0.001139
286160	2.86E+05	350913	0.0009196
287320	2.86E+05	350933	0.0008627
285731	2.86E+05	350738	0.001418
285820	2.86E+05	350968	0.000763
286444	2.86E+05	350955	0.0008
287836	2.86E+05	350823	0.001176
286823	2.86E+05	350963	0.0007773
287026	2.86E+05	350875	0.001028
287200	2.86E+05	350905	0.0009424
286522	2.86E+05	350944	0.0008313
285987	2.86E+05	350804	0.00123
286143	2.86E+05	350853	0.00109
285938	2.86E+05	350664	0.001629
286179	2.86E+05	350884	0.001002
286009	2.86E+05	350509	0.00207
285846	2.86E+05	350903	0.0009481
286635	2.86E+05	350852	0.001093
287763	2.86E+05	350750	0.001384
287270	2.86E+05	350804	0.00123
286006	2.86E+05	350817	0.001193
286094	2.86E+05	350856	0.001082
286176	2.86E+05	350956	0.0007972
286759	2.86E+05	350801	0.001238
286332	2.86E+05	350912	0.0009225
285975	2.86E+05	350916	0.0009111
286867	2.86E+05	351009	0.0006463
286700	2.86E+05	350871	0.001039
286285	2.86E+05	350908	0.0009338
286392	2.86E+05	350959	0.0007886
287041	2.86E+05	350960	0.0007858
286008	2.86E+05	351003	0.0006634
285543	2.86E+05	350730	0.001441
285686	2.86E+05	350460	0.002209
286207	2.86E+05	350281	0.002719
286271	2.86E+05	350741	0.001409
285687	2.86E+05	350274	0.002739
286265	2.86E+05	350979	0.0007317
285709	2.86E+05	350767	0.001335
285934	2.86E+05	350714	0.001486
286008	2.86E+05	350913	0.0009196
287041	2.86E+05	350836	0.001139
286578	2.86E+05	350615	0.001768
285764	2.86E+05	351013	0.0006349
286765	2.86E+05	350900	0.0009566
286223	2.86E+05	350862	0.001065
285886	2.86E+05	351009	0.0006463
286210	2.86E+05	350983	0.0007203
286313	2.86E+05	351010	0.0006434
